GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001,AJWNE001,AJWNE002,AJWNE003,AJWNE004,AJWNE005,AJWNE006,AJWNE007,AJWNE008,AJWNE009,AJWNE010,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJWWE001,AJWWE002,AJWWE003,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXIE001,AJXIE002,AJXIE003,AJXIE004,AJXIE005,AJXIE006,AJXIE007,AJXIE008,AJXIE009,AJXIE010,AJXIE011,AJXIE012,AJXIE013,AJXIE014,AJXIE015,AJXIE016,AJXIE017,AJXIE018,AJXIE019,AJXIE020,AJXIE021,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY4E001,AJY4E002,AJY4E003,AJY4E004,AJY4E005,AJY4E006,AJY4E007,AJY4E008,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,AJZAE001
"G280","2014-2018",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",,,2988762,2988762,1751193,1125834,13689,28313,707,28833,40193,3550,36643,2988762,2898269,1696952,1121752,12990,28170,654,2858,34893,856,34037,90493,54241,4082,699,143,53,25975,5300,2694,2606,2988762,2898269,90493,1215697,1148639,1037238,111401,84813,16159,5263,2628,2538,3393,3136,37,27,34,159,522,1104,1233,17028,15999,27779,449478,434248,300616,158924,92891,66033,107002,17181,4084,10978,2447,133632,129124,41905,39448,2457,87219,85289,1930,4508,15230,1105576,740268,491943,248325,53350,194975,365308,317826,47482,1967314,25771,316,379,696,1682,3578,3735,5285,14309,14786,35278,43121,59762,68510,39137,474505,122059,116918,323976,184334,266274,116055,27736,19112,2890347,275272,324523,178262,162053,221576,83761,1644900,1105576,113175,76319,74327,68278,65117,61203,54498,53790,47283,84396,102096,123926,73926,40786,36688,29768,43567
"G290","2014-2018",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",,,6090062,6090062,5008342,704896,26952,116720,6662,71162,155328,11364,143964,6090062,5840957,4848330,699730,23566,115311,6037,9826,138157,2862,135295,249105,160012,5166,3386,1409,625,61336,17171,8502,8669,6090062,5840957,249105,2855663,2588131,2338107,250024,197852,30070,12789,5774,3539,40311,36497,447,2559,635,173,2536,3338,6147,55495,21955,137750,981692,941181,638747,329615,215360,114255,251343,30803,8795,14273,3918,302434,287818,90490,82855,7635,197328,189949,7379,14616,40511,2396271,1540575,1152270,388305,107055,281250,855696,702904,152792,4124838,33534,542,679,691,1243,2787,2696,4851,12753,9501,65092,53296,87790,95141,59933,1076664,189766,298310,624735,323751,729543,329182,72419,49939,5907190,363015,474915,276551,264510,399070,169187,3959942,2396271,158836,118404,122333,127388,124137,129224,119243,120404,104302,195669,249084,300226,195077,115715,111519,104710,53560
"G300","2014-2018",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",,,1041732,1041732,925642,4630,67289,7947,757,6032,29435,1798,27637,1041732,1002713,898953,4348,64643,7806,706,486,25771,495,25276,39019,26689,282,2646,141,51,5546,3664,1303,2361,1041732,1002713,39019,499849,426229,378154,48075,35214,7476,3328,1126,931,3852,3702,14,34,7,95,312,842,6305,25889,3917,32503,183823,178392,121321,61425,38595,22830,50878,4515,1119,2263,1121,57071,53908,21139,19631,1508,32769,31212,1557,3163,5431,423240,260229,208772,51457,17551,33906,163011,130033,32978,714267,3151,73,110,118,71,177,123,115,906,1257,8219,5420,9196,11682,7990,175345,33551,48081,121715,64097,148624,52011,13166,9069,1016407,60777,78286,51207,47346,72351,31257,675183,423240,27058,22449,21411,23392,23565,23372,21503,21227,18170,35694,45157,51580,34101,19422,18200,16939,52559
"G310","2014-2018",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",,,1904760,1904760,1666463,90860,17282,44105,1392,36058,48600,5440,43160,1904760,1701479,1512314,88442,13918,43839,1091,1982,39893,785,39108,203281,154149,2418,3364,266,301,34076,8707,4655,4052,1904760,1701479,203281,980914,892182,803715,88467,66514,12859,5605,2525,964,6531,6131,107,130,38,125,641,1142,4198,26141,6535,43544,286080,273551,182058,94134,62970,31164,77665,5533,1482,2404,840,91493,88058,27956,26185,1771,60102,58364,1738,3435,12529,754063,484034,379707,104327,31450,72877,270029,219665,50364,1242463,14848,294,354,578,1189,2324,1731,2200,9892,3036,12782,12395,14933,18242,15941,283361,43188,93059,192857,130043,258291,92723,21949,16253,1850245,90684,123106,79463,75339,119961,52049,1309643,754063,40512,31484,33014,36057,36302,37232,36912,35040,32310,63275,82615,103433,71539,42044,38623,33671,59116
"G320","2014-2018",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",,,2922849,2922849,1935103,261123,35845,234693,19352,296234,140499,23442,117057,2922849,2091252,1458093,249967,26355,229928,17703,8693,100513,2615,97898,831597,477010,11156,9490,4765,1649,287541,39986,20827,19159,2922849,2091252,831597,1351950,1196476,1056958,139518,106309,19212,7113,4757,2127,46574,45986,204,270,45,69,936,4435,5242,25750,18999,53538,438051,432030,300079,139874,91238,48636,102418,32036,9151,12107,4493,131951,118695,50042,43428,6614,68653,62675,5978,13256,6021,1075930,683185,477255,205930,68216,137714,392745,307649,85096,2001450,32255,399,619,1091,2473,6471,4203,7284,35153,7743,16212,32977,31574,42967,52742,483098,80131,149930,365081,163699,317510,116743,32676,18419,2881404,183649,209782,142183,139395,204346,88237,1913812,1075930,66099,42870,46175,52503,52723,55785,52494,52288,46946,89534,116327,143651,94826,56822,56228,50659,57598
"G330","2014-2018",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",,,1343622,1343622,1250014,20516,2090,36124,359,6629,27890,2657,25233,1343622,1295266,1214547,17622,1838,35848,270,1323,23818,845,22973,48356,35467,2894,252,276,89,5306,4072,1812,2260,1343622,1295266,48356,707037,627473,571653,55820,44710,7034,2554,932,590,5806,4727,161,204,654,60,604,977,1833,19003,6079,45262,227984,218723,153170,74798,48451,26347,61684,9159,3267,3027,1235,65553,61089,20800,18449,2351,40289,38036,2253,4464,9261,528078,348905,277398,71507,23544,47963,179173,137426,41747,952115,5568,147,182,121,187,506,463,805,1809,2317,9071,8978,12884,12956,11613,223340,39665,58100,119591,96387,213277,101226,19032,13890,1300664,46012,56340,35153,38028,58680,26844,1039607,528078,19962,17120,19075,19686,19732,21875,19149,19683,18692,38093,54158,73982,58038,39393,44900,44540,74057
"G340","2014-2018",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",,,8881845,8881845,6031747,1196764,18649,832403,3357,567976,230949,53267,177682,8881845,7113825,4960005,1129257,9599,826944,2255,36881,148884,14595,134289,1768020,1071742,67507,9050,5459,1102,531095,82065,38672,43393,8881845,7113825,1768020,4303118,3416225,3071526,344699,250730,49270,21321,13770,9608,494549,266138,3918,88728,125090,10675,14179,2305,12560,125663,49207,188430,1376863,1331368,933988,448698,286293,162405,323650,92647,31133,29665,8195,397380,378237,110904,101023,9881,267333,256473,10860,19143,45495,3213362,2222368,1646548,575820,155843,419977,990994,829344,161650,6129542,82079,1358,1033,2798,6446,14158,17306,23073,63435,22576,68955,64541,80568,89509,103278,1530024,153544,309670,710066,401069,1457910,671274,158342,96530,8707826,402248,501884,292679,279875,412113,166794,6652233,3213362,165332,106777,118201,121047,115724,113182,107671,106659,98978,200582,279210,389646,322775,240597,310244,416737,79363
"G350","2014-2018",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",,,2092434,2092434,1558886,43006,199896,31513,1514,190111,67508,23752,43756,2092434,1076683,788308,38016,183408,29571,1046,4056,32278,1754,30524,1015751,770578,4990,16488,1942,468,186055,35230,21998,13232,2092434,1076683,1015751,880271,794374,706167,88207,65854,12845,5113,2906,1489,10139,8942,77,72,1006,42,192,2269,5802,18023,7004,42468,341515,334412,226009,112613,70944,41669,82399,16982,3805,8611,1599,108403,100425,36770,33218,3552,63655,60253,3402,7978,7103,775651,492776,342830,149946,44469,105477,282875,236373,46502,1394280,17383,404,325,782,2016,5977,3606,5358,24840,7415,18617,27363,32409,36887,22176,303626,64861,85994,241381,114664,213129,116002,23589,25476,2050855,181232,229157,121140,115813,149573,62491,1191449,775651,71461,46565,45977,46783,43912,40663,37203,34927,33099,61051,73430,87444,58236,33084,32953,28863,48059
"G360","2014-2018",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",,,19618453,19618453,12514949,3068099,79644,1630341,8017,1718220,599183,146584,452599,19618453,15912865,10959534,2808679,46139,1616028,5591,105032,371862,36006,335856,3705588,1555415,259420,33505,14313,2426,1613188,227321,110578,116743,19618453,15912865,3705588,9246571,5515207,4913896,601311,457762,78364,34011,18855,12319,2591512,533192,9868,1773088,263228,12136,55560,6891,63313,569444,55475,389169,3068689,2952497,1981277,962690,573136,389554,674443,200531,47969,72783,22861,971220,922043,287912,261938,25974,634131,605988,28143,49177,116192,7316537,4634204,3232009,1402195,363682,1038513,2682333,2176387,505946,13606342,264723,3031,4148,9451,19555,40742,39372,70458,159361,65241,181095,202510,226380,251883,301899,3020851,535400,634196,1503643,1184265,2748577,1541679,390755,207127,19108993,1260700,1537285,811241,767466,1064207,435211,13232883,7316537,492408,378399,325767,318683,301819,300327,275108,279709,243067,492299,648570,868488,658357,466265,554471,712800,65323
"G370","2014-2018",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",,,10155624,10155624,6994240,2179622,121352,282264,6939,307906,263301,27712,235589,10155624,9219674,6433039,2146254,111360,280059,5677,22615,220670,6741,213929,935950,561201,33368,9992,2205,1262,285291,42631,20971,21660,10155624,9219674,935950,4660377,4215826,3781646,434180,332418,59507,21656,12289,8310,47381,42455,832,2523,1233,338,4815,5761,9824,85152,38580,253038,1570998,1526880,1067863,541258,344312,196946,403027,66027,19171,32119,6261,459017,437541,135456,124784,10672,302085,291337,10748,21476,44118,3918597,2573526,1886087,687439,173471,513968,1345071,1113548,231523,6881774,82023,1414,1111,2743,6552,13638,11810,20517,56376,36594,90138,135505,162954,155026,93465,1482960,297293,434625,1045166,652658,1345846,543580,116857,92923,9881292,663550,860399,510878,491861,701201,285781,6367622,3918597,266502,212515,207195,210335,210982,209328,193292,196956,167230,320322,387786,471985,303156,185224,183853,191936,52413
"G380","2014-2018",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",,,752201,752201,655268,20445,39462,10814,378,7528,18306,1197,17109,752201,725672,639477,20113,38308,10664,366,972,15772,201,15571,26529,15791,332,1154,150,12,6556,2534,996,1538,752201,725672,26529,398937,359759,325252,34507,25195,5439,2152,1043,678,2150,1980,40,21,74,35,302,358,1485,13631,2329,18923,109910,103359,67500,35377,24417,10960,29451,1537,360,636,139,35859,34851,11252,10439,813,23599,23087,512,1008,6551,314903,188288,151214,37074,13122,23952,126615,98845,27770,490233,3019,59,93,33,105,185,178,311,851,855,10014,3654,5735,6201,5501,113235,18029,30831,79736,67212,105552,26902,6962,4980,727322,39838,39432,27124,24955,36522,18440,541011,314903,18064,13227,13158,12633,14064,13846,13219,13791,12919,24633,32414,45061,31435,20415,18541,17483,63473
"G390","2014-2018",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",,,11641879,11641879,9489832,1438271,23563,249741,3591,109792,327089,26734,300355,11641879,11210552,9220638,1418048,17723,247987,3055,18848,284253,6890,277363,431327,269194,20223,5840,1754,536,90944,42836,19844,22992,11641879,11210552,431327,5442764,4949445,4526389,423056,330803,51988,18620,12959,8686,87570,83286,954,2231,613,486,5501,4616,16359,121728,37230,220315,1892861,1818356,1218663,629106,397421,231685,475578,61068,16635,29158,7118,599693,573821,188486,173378,15108,385335,371717,13618,25872,74505,4654075,2953760,2145423,808337,219756,588581,1700315,1410748,289567,7937085,68548,1077,887,1370,2928,5768,5063,7014,18245,18715,93705,91594,154583,189952,126711,2333362,306116,543607,1080640,681630,1370810,613112,133086,88562,11319092,750715,895271,483340,479539,709431,299529,7701267,4654075,333406,226269,234656,241376,232036,238321,218745,224516,195864,374620,479196,586108,392130,241243,226944,208645,54533
"G400","2014-2018",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",,,3918137,3918137,2837772,287959,294676,83392,4471,106757,303110,15080,288030,3918137,3510616,2586110,282622,280638,82318,3982,4790,270156,2383,267773,407521,251662,5337,14038,1074,489,101967,32954,12697,20257,3918137,3510616,407521,1748344,1615004,1440542,174462,134848,23217,9056,5431,1910,7428,6831,197,73,112,215,1213,3041,4308,31322,15780,70248,589230,569496,394480,202250,128035,74215,151303,21199,6391,11185,2152,175016,168237,54315,50306,4009,113922,110388,3534,6779,19734,1474620,975462,718745,256717,76016,180701,499158,414568,84590,2574001,25034,395,513,984,2008,4119,3285,5038,22959,10714,30704,42790,55258,68535,41452,677212,129195,191733,415100,198903,428829,157907,36285,25049,3802004,264018,343792,201321,203162,281194,112073,2396444,1474620,104686,79794,80385,81892,81511,79230,73745,73955,64010,121219,153601,179466,114397,65039,62455,59235,51424
"G410","2014-2018",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",,,4081943,4081943,3445933,77789,46961,174510,16006,127084,193660,20228,173432,4081943,3557987,3103557,74356,36776,172505,15301,6410,149082,2986,146096,523956,342376,3433,10185,2005,705,120674,44578,17242,27336,4081943,3557987,523956,1895393,1545544,1356677,188867,149842,23455,8847,4252,2471,85300,65312,8351,8646,2764,227,1813,4924,42256,71623,14170,129763,682546,665395,450023,224781,142027,82754,176269,24996,7385,10720,5872,215372,200123,67817,59485,8332,132306,123533,8773,15249,17151,1591835,1005869,772458,233411,71845,161566,585966,439093,146873,2850693,30821,436,672,1458,2833,6033,3562,5917,23046,6850,23828,31477,39663,48210,49376,530622,125743,232529,499948,249852,583144,247490,62012,45171,4004544,249940,315307,186149,181530,255407,113868,2702343,1591835,95003,70503,74158,74284,78482,76181,70998,71889,64622,126644,166000,209965,142816,88215,90895,91180,59393
"G420","2014-2018",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",,,12791181,12791181,10341442,1423319,24847,427892,4107,258694,310880,38055,272825,12791181,11886025,9826865,1360576,14419,424597,2702,20860,236006,9675,226331,905156,514577,62743,10428,3295,1405,237834,74874,28380,46494,12791181,11886025,905156,6032013,5104953,4593109,511844,397988,63885,26506,14083,9382,337633,224086,7724,45705,59380,738,6457,5874,29823,223371,43478,280424,2229861,2140238,1443207,729246,476419,252827,553811,88850,24359,38455,8486,697031,664868,209175,191860,17315,455693,439393,16300,32163,89623,5025132,3232070,2408669,823401,230451,592950,1793062,1484446,308616,8921363,88991,1462,1246,2438,3913,9083,8564,12498,29487,23434,110048,105405,165795,180765,130889,2784595,349060,487407,939376,741590,1661705,774543,177901,131168,12380149,715672,863277,487992,488522,724475,311901,8788310,5025132,315702,227537,243269,240294,238838,236685,218023,219863,199038,393025,507643,646375,450266,288974,296797,302803,59445
"G440","2014-2018",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",,,1056611,1056611,854502,69254,5484,35663,863,58136,32709,7387,25322,1056611,897753,767727,59001,3708,35128,684,7090,24415,3145,21270,158858,86775,10253,1776,535,179,51046,8294,4242,4052,1056611,897753,158858,515872,457799,413105,44694,35302,5230,2024,1110,1028,12915,9388,39,418,3005,65,560,344,1770,18556,3498,20430,174210,166395,108351,53358,33606,19752,39845,8837,2294,3256,761,58044,54995,17008,15694,1314,37987,36629,1358,3049,7815,410885,255666,182276,73390,18624,54766,155219,126661,28558,733188,10680,153,93,687,1099,2437,3926,2399,4713,3362,8607,11618,13035,13466,11719,172787,34220,42214,90873,61136,145595,69830,15651,12888,1016029,56135,76920,39744,36519,58227,20480,728004,410885,27976,21929,18454,18404,16967,17116,16428,17307,12995,28967,38889,51575,40991,26330,29091,27466,63296
"G450","2014-2018",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",,,4955925,4955925,3332986,1339360,16686,75084,3004,78597,110208,11089,99119,4955925,4680240,3156973,1328352,14187,74278,2812,8584,95054,2193,92861,275685,176013,11008,2499,806,192,70013,15154,8896,6258,4955925,4680240,275685,2215014,2033156,1825021,208135,161362,28832,10324,4804,2813,11816,10457,147,601,180,431,2427,2995,5446,46140,21134,91900,829083,810154,580033,295232,184033,111199,218158,34493,9341,18951,3858,230121,218932,70408,64473,5935,148524,143416,5108,11189,18929,1894711,1249795,892969,356826,84331,272495,644916,542317,102599,3385002,37099,881,431,1163,2286,5480,4507,7395,21399,19363,41634,59281,87421,87004,60426,847337,151122,202163,496341,324446,588965,250813,51051,36994,4814032,346252,424380,246724,243896,346593,146246,3059941,1894711,145418,104615,100493,105989,105418,102763,91395,91331,82675,154561,194100,229417,144972,83699,81237,76628,51015
"G460","2014-2018",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",,,864289,864289,730062,16241,75331,12660,293,6613,23089,1193,21896,864289,832294,710810,15840,72263,12540,236,647,19958,109,19849,31995,19252,401,3068,120,57,5966,3131,1084,2047,864289,832294,31995,436525,388474,350530,37944,27975,6242,2099,1125,503,2448,2354,23,44,0,27,219,722,1643,15269,2694,25056,136808,128823,85826,45004,29666,15338,37081,1947,449,1123,222,42997,41352,13395,12513,882,27957,26902,1055,1645,7985,341565,216985,170352,46633,14849,31784,124580,102442,22138,567083,3834,63,49,162,215,388,405,296,1174,781,10525,5368,7934,9093,6657,147729,25533,36032,84293,65075,112426,34166,8813,6072,834921,52226,60918,33849,34789,52476,23925,576738,341565,19651,16586,15062,16097,16961,19342,16256,16431,15018,28790,37893,49022,30544,16219,14305,13388,56499
"G470","2014-2018",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",,,6651089,6651089,5166231,1117489,17848,112915,3806,90666,142134,11728,130406,6651089,6298687,4924145,1107218,15172,112015,3318,9686,127133,3440,123693,352402,242086,10271,2676,900,488,80980,15001,8288,6713,6651089,6298687,352402,3003226,2772904,2503496,269408,207422,38912,13614,5500,3960,21786,20045,327,242,942,230,1706,3258,3915,39970,29035,130652,1045213,1014433,714458,367048,236057,130991,266757,43330,13128,19936,4259,299975,286653,92553,85298,7255,194100,187361,6739,13322,30780,2567061,1695846,1241573,454273,117724,336549,871215,722285,148930,4530706,49403,689,747,1634,2580,8923,6684,9390,29684,24607,85259,74471,106559,116550,73090,1198201,269647,287384,655225,323928,762299,311861,76858,55033,6488786,451092,595416,337592,325447,456899,194542,4127798,2567061,190342,141456,143086,143310,141143,136061,130436,127042,108652,212139,260418,305237,193963,113288,109904,110584,50972
"G480","2014-2018",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",,,27885195,27885195,20720689,3365783,136061,1308257,23672,1600234,730499,152824,577675,27885195,16963639,11807263,3269253,68452,1292813,20381,42354,463123,21662,441461,10921556,8913426,96530,67609,15444,3291,1557880,267376,131162,136214,27885195,16963639,10921556,12842820,11650999,10345804,1305195,970345,203572,75170,38541,17567,184848,159344,3492,9745,11223,1044,8363,19988,32418,196708,145444,604052,3337814,3246415,2374746,1148641,735214,413427,814413,229893,72370,89171,20258,871669,827395,272174,250439,21735,555221,534339,20882,44274,91399,9553046,6629325,4812972,1816353,488202,1328151,2923721,2397543,526178,17815359,354158,3708,5076,21224,48787,104174,65989,101545,435436,119805,246209,455401,341190,386462,304268,3660917,787964,1106617,2785910,1261050,3409836,1321019,287320,201294,27264694,1792641,2421297,1391769,1371822,1890880,773709,17622576,9553046,609111,415778,431000,454863,460236,456584,419784,431876,372502,753148,942058,1168213,839610,552446,588275,657562,59570
"G490","2014-2018",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",,,3045350,3045350,2632056,35862,32657,69810,27096,157990,89879,14964,74915,3045350,2623227,2394238,33713,28047,68747,26607,4802,67073,2038,65035,422123,237818,2149,4610,1063,489,153188,22806,12926,9880,3045350,2623227,422123,1433444,1248877,1088975,159902,118705,22814,10198,5209,2976,35349,21345,3441,3203,7222,138,490,4451,10555,36297,9159,88266,320269,315382,240635,121821,82451,39370,93908,12795,5407,5136,1568,74747,71867,22372,20931,1441,49495,48133,1362,2880,4887,957619,716884,587505,129379,40763,88616,240735,184648,56087,1782065,14827,332,446,829,1293,2678,1571,2254,13664,3834,7806,16353,18483,28646,30344,355712,51612,141143,323812,173766,391237,144145,32078,25200,2997963,137839,172065,118629,123651,203966,87350,2154463,957619,40085,29541,30491,34642,38599,38728,40549,42498,38587,80778,112915,145363,104396,64513,61120,54814,68374
"G500","2014-2018",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",,,624977,624977,589546,8058,2106,10579,184,2426,12078,388,11690,624977,613300,581023,7602,1867,10541,170,898,11199,184,11015,11677,8523,456,239,38,14,1528,879,204,675,624977,613300,11677,321624,271998,244038,27960,22773,3388,929,409,461,3971,3637,25,215,64,30,229,337,2475,17852,2487,22275,113550,109545,70488,35944,22581,13363,29511,2256,861,1114,802,39057,36583,11904,10413,1491,24679,23130,1549,2474,4005,259589,158406,124868,33538,10731,22807,101183,77381,23802,439695,2683,58,63,23,165,109,52,187,574,738,5535,3993,6883,6803,4841,112989,15183,23545,53652,37513,97034,47484,11287,8301,600334,29658,37376,23760,23352,36726,15241,434221,259589,12826,13380,12180,12483,11650,12759,11179,11121,10707,21360,27568,36469,24831,14831,13362,12883,60076
"G510","2014-2018",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",,,8413774,8413774,5722660,1613285,22972,531503,5677,208464,309213,33041,276172,8413774,7642597,5233111,1582421,17747,526973,4740,21295,256310,8233,248077,771177,489549,30864,5225,4530,937,187169,52903,24808,28095,8413774,7642597,771177,4152433,3588194,3205870,382324,282010,62561,19020,10352,8381,184405,84111,658,82627,16479,530,8102,6102,17425,99787,40697,207721,1230246,1201932,846455,416029,269585,146444,310397,65641,22965,24713,6710,355477,334777,105869,96527,9342,228908,219259,9649,20700,28314,3128415,2085245,1578357,506888,136383,370505,1043170,843863,199307,5730352,69818,1026,985,2363,4267,9522,9141,15918,40400,33752,61183,74634,101447,105589,82775,1154825,226255,346434,766185,436970,1244489,692598,144150,105626,8162107,425969,467611,285591,286599,432442,181618,6082277,3128415,165334,114411,113351,118126,120742,120540,116458,124993,111844,223854,299458,404293,307236,217713,255538,314524,71564
"G530","2014-2018",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",,,7294336,7294336,5545997,269854,95048,607429,48043,311170,416795,40641,376154,7294336,6382763,5039208,259482,80274,602020,46476,12077,343226,6662,336564,911573,506789,10372,14774,5409,1567,299093,73569,33979,39590,7294336,6382763,911573,3485339,2853633,2506808,346825,265507,43599,16872,12238,8609,225913,194937,1678,8499,10385,10414,3308,10909,30853,125965,27582,207176,1073499,1044510,719840,356418,234863,121555,279226,45164,16027,16241,6764,324670,303242,102545,91352,11193,200697,188900,11797,21428,28989,2800423,1813296,1407804,405492,127803,277689,987127,751465,235662,5001943,57948,761,1126,2847,4939,11236,7425,10658,40485,11762,37943,48340,56876,70512,81863,917800,191216,375788,807708,501449,1104621,471410,109253,77977,7161708,377106,444515,255057,273495,395859,177498,5238178,2800423,144695,95789,99129,104429,107027,112120,110303,115143,105170,210273,286122,381845,281885,196331,215941,234221,70116
"G540","2014-2018",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",,,1829054,1829054,1704345,66728,3668,14534,350,7290,32139,2028,30111,1829054,1801532,1684756,65597,3546,14353,309,3060,29911,865,29046,27522,19589,1131,122,181,41,4230,2228,1163,1065,1829054,1801532,27522,727792,667619,600897,66722,54033,8225,3001,745,718,6627,5615,48,175,747,42,309,402,1049,20940,6633,24213,344719,335086,230892,120793,74800,45993,89157,9780,2674,7050,1438,104194,99799,33840,31035,2805,65959,63826,2133,4395,9633,734676,475835,358834,117001,34837,82164,258841,217917,40924,1292084,10152,182,215,302,408,944,1138,1973,6720,9247,26168,28681,37443,34952,15705,436424,87112,77117,163476,91975,158032,75727,16213,11778,1776501,135869,179595,95653,93720,132926,53847,1084891,734676,65896,45760,48995,48193,43670,41840,37184,36317,32269,59234,72500,80561,50327,28448,23866,19616,44921
"G550","2014-2018",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",,,5778394,5778394,4945966,368744,50422,159356,1975,115941,135990,16414,119576,5778394,5392615,4711038,361909,46149,158198,1676,4807,108838,2711,106127,385779,234928,6835,4273,1158,299,111134,27152,13703,13449,5778394,5392615,385779,2920388,2601098,2369044,232054,182071,30266,10673,5915,3129,51391,49533,175,281,1148,254,3047,5393,20309,89410,18256,131484,924695,890725,595958,307410,207315,100095,249594,21565,5409,8873,3107,294767,280459,91648,84064,7584,188811,181933,6878,14308,33970,2343129,1484455,1147230,337225,107700,229525,858674,683448,175226,3930889,34730,474,569,958,1292,3265,2976,3461,13371,5643,41688,31383,50264,65341,61759,1077539,139031,264540,549888,422227,762210,285851,66358,46071,5628213,288910,379310,221478,215081,341104,146513,4035817,2343129,115992,106603,108024,113641,112435,115627,108363,112278,99091,193488,253997,326010,219125,133762,121032,103661,59209
"G560","2014-2018",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",,,581836,581836,532008,5540,14053,4756,539,9361,15579,1748,13831,581836,524870,489559,5149,12717,4660,434,227,12124,151,11973,56966,42449,391,1336,96,105,9134,3455,1597,1858,581836,524870,56966,287175,251676,222984,28692,19976,5278,2171,914,353,3774,3709,12,29,0,24,151,592,2454,11285,2392,14851,87777,85237,58189,30116,19043,11073,23717,2171,814,1046,325,27048,25670,9489,8777,712,16181,15466,715,1378,2540,230630,148692,118904,29788,11004,18784,81938,65525,16413,389291,1519,72,79,59,72,438,151,123,1412,670,2807,3399,4853,6381,5609,91927,19972,32098,70138,42835,67697,26978,5489,4513,567950,27728,35583,21931,22313,33411,15588,411396,230630,11430,9144,10648,10752,10248,11108,10279,10395,9521,18047,24249,33077,24261,15233,12723,9515,62268
